"ID","DOMAIN_HCODE","DOMAIN_CNAME","TABLE_HCODE","TABLE_ENAME","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
133,"10305",科创板基本信息,"30158",GET_A_INDUSTRY,,,1,,"2024-10-17 15:33:52",,"2024-11-06 15:39:46"
136,"208",境内指数,"30155",ANA_INDX_VAL_IDX,,,1,,"2024-10-17 15:33:53",,"2024-10-17 15:33:53"
137,"208",境内指数,"30158",GET_A_INDUSTRY,,,1,,"2024-10-23 13:20:47",,"2024-11-06 18:53:50"
142,"201",调研通知,"20001",INVESTIGATE_MAIN,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:24"
143,"201",路演信息,"20002",ROADSHOW_MAIN,,,1,,"2024-10-23 13:20:47",,"2024-11-28 20:24:13"
144,"201",路演信息,"20003",ROADSHOW_MAIN_US,,,1,,"2024-10-23 13:20:47",,"2024-11-28 20:24:13"
145,"201",点评信息,"20004",CMNT_INFO,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:25"
146,"201",策略会通知,"20005",INVESTIGATE_MAIN_MEETING,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:25"
147,"201",公众号信息,"20006",RESEARCH_WECHAT_ARTICLES,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:25"
148,"201",公告信息,"20007",ANNC_MAIN,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:25"
150,"201",会议纪要,"20009",SUMMARY_ROADSHOW_INFO,,,1,,"2024-10-23 13:20:47",,"2024-11-28 20:24:13"
151,"201",美股纪要,"20010",SUMMARY_ROADSHOW_INFO_US,,,1,,"2024-10-23 13:20:47",,"2024-12-06 08:09:38"
152,"201",中资研报,"20011",NXNY_REPORT_MAIN,,,1,,"2024-10-23 13:20:47",,"2024-12-02 20:31:42"
153,"201",外资研报,"20012",RESEARCH_REPORT_MAIN_US,,,1,,"2024-10-23 13:20:47",,"2024-12-02 20:31:42"
154,"201",外资研报,"20013",RESEARCH_REPORT_STK_US,,,1,,"2024-10-23 13:20:47",,"2024-12-02 20:31:42"
157,"10105",主板基本信息,"30115",STK_COM_PROFILE,,,1,,"2024-10-17 15:32:12",,"2024-10-30 18:42:16"
160,"208",境内指数,"30142",ANA_STK_EXPR_IDX,,,1,,"2024-10-17 15:33:53",,"2024-10-17 15:33:53"
161,"10105",主板基本信息,"30128",STK_PRE_DISCLOSURE,,,1,,"2024-10-17 15:32:12",,"2024-11-06 15:47:44"
162,"10305",科创板基本信息,"30105",STI_PRE_DISCLOSURE,,,1,,"2024-10-17 15:33:52",,"2024-11-06 15:47:45"
163,"10109",主板公司行为,"30159",STK_ADD_HOLD,,,1,,"2024-10-17 15:32:13",,"2025-02-24 10:24:31"
164,"10109",主板公司行为,"30160",STK_GREATE_EVENT,,,1,,"2024-10-17 15:32:13",,"2025-02-24 10:24:31"
165,"10109",主板公司行为,"30066",NEWS_ESP_HINT,,,1,,"2024-10-17 15:32:13",,"2025-02-24 10:24:31"
166,"201",公众号信息,"20008",RESEARCH_WECHAT_ACC,,,1,,"2024-10-23 13:20:47",,"2024-11-11 17:37:25"
167,"20501",基金产品持仓,"10055",STOCK_FACTOR_VALUE,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
168,"20506",基金公司持仓,"10055",STOCK_FACTOR_VALUE,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
169,"20504",基金经理持仓,"10055",STOCK_FACTOR_VALUE,,,1,,"2024-10-17 15:31:27",,"2024-10-17 15:31:27"
171,"10105",主板基本信息,"30157",VW_CONCEPT_STK,,,1,,"2024-12-25 15:01:13",,"2024-12-25 15:01:13"
176,"20505",基金经理净值,"10046",INDEX_QUOTE_ALL,,,1,,"2024-10-17 15:31:28",,"2024-10-17 15:31:28"
177,"20502",基金产品净值,"10046",INDEX_QUOTE_ALL,,,1,,"2024-10-17 15:31:26",,"2024-10-17 15:31:26"
178,"10301",科创板财务,"30174",VIEW_STK_INCOME_GEN_QTR,,,1,,"2024-10-17 15:33:42",,"2024-10-17 15:33:42"
179,"10105",主板基本信息,"30164",VIEW_CONCEPT_DAILY_QUOTE,,,1,,"2024-12-25 15:01:13",,"2024-12-25 15:01:13"
180,"10301",科创板财务,"30173",VIEW_STI_FIN_IDX_QTR,,,1,,"2024-10-17 15:33:42",,"2025-01-23 16:24:46"
181,"20505",基金经理净值,"10056",FUND_MANAGER_STATISTICS_YEAR,,,1,,"2025-02-07 14:52:47",,"2025-02-07 15:21:16"
182,"20501",基金产品持仓,"10057",FUND_STOCK_INTERVAL_CONTRIBUTION_VW,,,1,,"2025-02-08 13:49:14",,"2025-02-08 13:49:54"
183,"208",境内指数,"30171",VIEW_STK_FIN_IDX,,,1,,"2024-10-17 15:33:53",,"2025-01-16 19:51:24"
185,"20503",基金经理基本信息,"10058",VW_FUND_LABEL_SERIES,,,1,,"2025-02-13 17:03:14",,"2025-02-13 17:03:14"
186,"208",境内指数,"30175",INDXN_MKT_SW,,,1,,"2024-10-17 15:33:53",,"2025-01-16 19:51:24"
187,"10101",主板财务,"30176",VIEW_STK_FIN_IDX_PLUS,,,1,,"2024-10-17 15:31:29",,"2025-01-23 16:24:47"
188,"20507",基金标签,"10059",VW_COMB_TRACK,,,1,,"2025-02-16 19:37:26",,"2025-02-16 19:37:26"
189,"209",股票标签,"10059",VW_COMB_TRACK,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
190,"10204",港股基本信息,"30177",VIEW_HK_INDUSTRY_TRACK,,,1,,"2024-10-17 15:33:41",,"2024-10-17 15:33:41"
191,"20507",基金标签,"10053",FUND_BENCHMARK,,,1,,"2025-02-18 18:14:01",,"2025-03-12 11:26:34"
192,"10308",南北向资金流动,"30178",VIEW_CAPITAL_FLOW_NORTH,,,1,,"2024-10-17 15:33:53",,"2024-10-17 15:33:53"
193,"10308",南北向资金流动,"30179",VIEW_CAPITAL_FLOW_SOUTH,,,1,,"2024-10-17 15:33:53",,"2024-10-17 15:33:53"
194,"20601",ETF相关信息,"10060",ETF_DAILY_QUOTE,,,1,,"2025-02-26 09:45:48",,"2025-02-26 15:18:15"
197,"601",美股基本信息,"50001",AMERICAN_STOCK_MAIN,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
198,"602",美股行情,"50002",STK2401,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
199,"603",美股行情,"50003",COM3101,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
200,"604",美股财务,"50004",COM3102,,,0,,"2025-03-06 17:43:37",,"2025-03-21 10:38:21"
201,"605",美股财务,"50005",COM3103,,,0,,"2025-03-06 17:43:37",,"2025-03-21 10:38:21"
202,"606",美股财务,"50006",COM3104,,,0,,"2025-03-06 17:43:37",,"2025-03-21 10:38:21"
203,"607",美股经营分析,"50007",VIEW_COM3105,,,1,,"2025-03-06 17:43:37",,"2025-03-11 14:52:08"
204,"608",美股经营分析,"50008",VIEW_COM3106,,,1,,"2025-03-06 17:43:37",,"2025-03-11 14:52:08"
205,"10305",科创板基本信息,"30180",STI_COM_SHARE,,,1,,"2025-03-28 17:04:29",,"2025-03-28 17:04:29"
206,"10305",科创板基本信息,"30181",STI_COMSUB_PROFILE,,,1,,"2025-03-28 17:04:29",,"2025-03-28 17:04:29"
207,"604",美股财务,"50011",VIEW_COM3102_Q,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
208,"605",美股财务,"50014",VIEW_COM3102_CUM,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
209,"606",美股财务,"50012",VIEW_COM3103_Q,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
210,"604",美股财务,"50015",VIEW_COM3103_CUM,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
211,"605",美股财务,"50013",VIEW_COM3104_Q,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
212,"606",美股财务,"50016",VIEW_COM3104_CUM,,,1,,"2025-03-06 17:43:37",,"2025-03-06 17:43:37"
213,"10101",主板财务,"30243",ANA_STK_DIV_RATE_IDX,,,1,,"2024-10-17 15:31:29",,"2024-10-17 15:31:29"
214,"10104",主板行情,"30243",ANA_STK_DIV_RATE_IDX,,,1,,"2024-10-17 15:31:29",,"2024-10-17 15:31:29"
215,"10303",科创板股本股东,"30238",STI_HOLDER_NUM,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
216,"10303",科创板股本股东,"30239",STI_MAIN_HOLDER,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
217,"10101",主板财务,"30190",STK_FIN_CHARGE,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
218,"10101",主板财务,"30199",STK_TAX_RATIO,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
219,"10103",主板股本股东,"30187",STK_COM_SHARE,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
220,"10101",主板财务,"30198",STK_STOCK,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
221,"10101",主板财务,"30195",STK_NON_EXTR_ITEM,,,1,"","2025-03-19 11:51:36","","2025-03-19 11:51:36"
222,"10101",主板财务,"30244",VIEW_STK_FIX_ASS,,,1,"","2025-03-19 11:51:36","","2025-03-25 18:28:34"
223,"10101",主板财务,"30192",STK_FIX_ASS_DEP,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
224,"10101",主板财务,"30186",STK_COM_RELA_NBALA,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
225,"10101",主板财务,"30193",STK_IMM_ASS,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
226,"10102",主板分红,"30189",STK_DIVPAY,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
227,"10101",主板财务,"30200",STK_TAXPAY,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
228,"10101",主板财务,"30197",STK_PREEXP,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
229,"10101",主板财务,"30184",STK_ASSETS,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
230,"10105",主板基本信息,"30188",STK_COMSUB_PROFILE,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
231,"10101",主板财务,"30182",STK_ACCT_RCV,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
232,"10101",主板财务,"30196",STK_NONOPT_EXPENSE,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
233,"10101",主板财务,"30185",STK_ATCP_LBLT,,,1,"","2025-03-19 11:51:37","","2025-03-19 11:51:37"
234,"10101",主板财务,"30194",STK_LNG_LOAN,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
235,"10101",主板财务,"30183",STK_ASSET_DEPR,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
236,"10105",主板基本信息,"30208",STK_DS_POST,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
237,"10108",主板员工持股,"30209",STK_MNG_RWD,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
238,"10108",主板员工持股,"30210",STK_MNG_RWD_DTL,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
239,"10105",主板基本信息,"30211",STK_LIST_PLAN,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
240,"10105",主板基本信息,"30212",STK_LIST_RESULT,,,1,"","2025-03-19 11:51:38","","2025-03-19 11:51:38"
241,"10109",主板公司行为,"30214",STK_ISS_RESULT,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
242,"10109",主板公司行为,"30213",STK_ISS_PLAN,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
243,"10109",主板公司行为,"30220",STK_GUAR_INFO,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
244,"10109",主板公司行为,"30225",STK_PLEDGE,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
245,"10109",主板公司行为,"30219",STK_FREEZE_STAT,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
246,"10109",主板公司行为,"30224",STK_LAWSUIT_NEW,,,1,"","2025-03-19 11:51:39","","2025-03-19 11:51:39"
247,"10109",主板公司行为,"30218",STK_FREEZE_NEW,,,1,"","2025-03-19 11:51:40","","2025-03-19 11:51:40"
248,"10109",主板公司行为,"30228",STK_REPURCHASE,,,1,"","2025-03-19 11:51:40","","2025-03-19 11:51:40"
249,"10109",主板公司行为,"30229",STK_REPURCHASE_PRG,,,1,"","2025-03-19 11:51:40","","2025-03-19 11:51:40"
250,"10109",主板公司行为,"30222",STK_IMPAWN_NEW,,,1,"","2025-03-19 11:51:40","","2025-03-19 11:51:40"
251,"10109",主板公司行为,"30227",STK_REL_TRD,,,1,"","2025-03-19 11:51:40","","2025-03-19 11:51:40"
252,"10109",主板公司行为,"30215",STK_ACCUM_FREEZE,,,1,"","2025-03-19 11:51:41","","2025-03-19 11:51:41"
253,"10103",主板股本股东,"30216",STK_ACCUM_IMPAWN,,,1,"","2025-03-19 11:51:41","","2025-03-19 11:51:41"
254,"10109",主板公司行为,"30226",STK_PUNISH,,,1,"","2025-03-19 11:51:41","","2025-03-19 11:51:41"
255,"10103",主板股本股东,"30230",STK_SEC_IVST,,,1,"","2025-03-19 11:51:41","","2025-03-19 11:51:41"
256,"10109",主板公司行为,"30232",STK_TENDER_OFFER_INFO,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
257,"10109",主板公司行为,"30233",STK_TENDER_OFFER_PRG,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
258,"10109",主板公司行为,"30231",STK_TENDER_OFFER_DTL,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
259,"10201",港股财务,"30234",HK_PRI_INCOME,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
260,"10204",港股基本信息,"30235",HK_OFCHGBDSCM,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
261,"10201",港股财务,"30236",HK_CDIVDSTCOM,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
262,"10202",港股股本股东,"30240",HK_DIRSHGINTCOM,,,1,"","2025-03-19 11:51:42","","2025-03-19 11:51:42"
263,"10202",港股股本股东,"30241",HK_MJSHHSHGSTU,,,1,"","2025-03-19 11:51:43","","2025-03-19 11:51:43"
264,"10101",主板财务,"30242",STK_RD_DTL,,,1,"","2025-03-19 11:51:43","","2025-03-19 11:51:43"
